01|003|066| 2|   |Kiss                                              |László                                  |0000077| 1|MSZP                                                        
01|003|066| 3|   |Quickert                                          |Liliána Diána                           |0000043| 1|LEHET MÁS A POLITIKA                                        
01|003|067| 1|   |Bús                                               |Balázs                                  |0000314| 2|FIDESZ,KDNP                                                 
01|003|067| 2|   |Kiss                                              |László                                  |0000077| 1|MSZP                                                        
01|003|067| 3|   |Quickert                                          |Liliána Diána                           |0000044| 1|LEHET MÁS A POLITIKA                                        
01|003|068| 1|   |Bús                                               |Balázs                                  |0000347| 2|FIDESZ,KDNP                                                 
01|003|068| 2|   |Kiss                                              |László                                  |0000141| 1|MSZP                                                        
01|003|068| 3|   |Quickert                                          |Liliána Diána                           |0000045| 1|LEHET MÁS A POLITIKA                                        
01|003|069| 1|   |Bús                                               |Balázs                                  |0000351| 2|FIDESZ,KDNP                                                 
01|003|069| 2|   |Kiss                                              |László                                  |0000102| 1|MSZP                                                        
01|003|069| 3|   |Quickert                                          |Liliána Diána                           |0000055| 1|LEHET MÁS A POLITIKA                                        
01|003|070| 1|   |Menczer                                           |Erzsébet                                |0000201| 2|FIDESZ,KDNP                                                 
01|003|070| 2|Dr.|Orosz                                             |Sándor                                  |0000163| 1|MSZP                                                        
01|003|070| 3|   |Szabó                                             |Tímea                                   |0000044| 1|LEHET MÁS A POLITIKA                                        
01|003|071| 1|   |Bús                                               |Balázs                                  |0000302| 2|FIDESZ,KDNP                                                 
01|003|071| 2|   |Kiss                                              |László                                  |0000114| 1|MSZP                                                        
01|003|071| 3|   |Quickert                                          |Liliána Diána                           |0000048| 1|LEHET MÁS A POLITIKA                                        
01|003|072| 1|   |Bús                                               |Balázs                                  |0000283| 2|FIDESZ,KDNP                                                 
01|003|072| 2|   |Kiss                                              |László                                  |0000120| 1|MSZP                                                        
01|003|072| 3|   |Quickert                                          |Liliána Diána                           |0000048| 1|LEHET MÁS A POLITIKA                                        
01|003|073| 1|   |Bús                                               |Balázs                                  |0000248| 2|FIDESZ,KDNP                                                 
01|003|073| 2|   |Kiss                                              |László                                  |0000126| 1|MSZP                                                        
01|003|073| 3|   |Quickert                                          |Liliána Diána                           |0000069| 1|LEHET MÁS A POLITIKA                                        
01|003|074| 1|   |Bús                                               |Balázs                                  |0000254| 2|FIDESZ,KDNP                                                 
01|003|074| 2|   |Kiss                                              |László                                  |0000107| 1|MSZP                                                        
01|003|074| 3|   |Quickert                                          |Liliána Diána                           |0000063| 1|LEHET MÁS A POLITIKA                                        
01|003|075| 1|   |Bús                                               |Balázs                                  |0000267| 2|FIDESZ,KDNP                                                 
01|003|075| 2|   |Kiss                                              |László                                  |0000107| 1|MSZP                                                        
01|003|075| 3|   |Quickert                                          |Liliána Diána                           |0000058| 1|LEHET MÁS A POLITIKA                                        
01|003|076| 1|   |Bús                                               |Balázs                                  |0000269| 2|FIDESZ,KDNP                                                 
01|003|076| 2|   |Kiss                                              |László                                  |0000136| 1|MSZP                                                        
01|003|076| 3|   |Quickert                                          |Liliána Diána                           |0000087| 1|LEHET MÁS A POLITIKA                                        
01|003|077| 1|   |Bús                                               |Balázs                                  |0000259| 2|FIDESZ,KDNP                                                 
01|003|077| 2|   |Kiss                                              |László                                  |0000126| 1|MSZP                                                        
01|003|077| 3|   |Quickert                                          |Liliána Diána                           |0000064| 1|LEHET MÁS A POLITIKA                                        
01|003|078| 1|   |Bús                                               |Balázs                                  |0000277| 2|FIDESZ,KDNP                                                 
01|003|078| 2|   |Kiss                                              |László                                  |0000131| 1|MSZP                                                        
01|003|078| 3|   |Quickert                                          |Liliána Diána                           |0000076| 1|LEHET MÁS A POLITIKA                                        
01|003|079| 1|   |Bús                                               |Balázs                                  |0000277| 2|FIDESZ,KDNP                                                 
01|003|079| 2|   |Kiss                                              |László                                  |0000107| 1|MSZP                                                        
01|003|079| 3|   |Quickert                                          |Liliána Diána                           |0000063| 1|LEHET MÁS A POLITIKA                                        
01|003|080| 1|   |Bús                                               |Balázs                                  |0000272| 2|FIDESZ,KDNP                                                 
01|003|080| 2|   |Kiss                                              |László                                  |0000130| 1|MSZP                                                        
01|003|080| 3|   |Quickert                                          |Liliána Diána                           |0000065| 1|LEHET MÁS A POLITIKA                                        
01|003|081| 1|   |Bús                                               |Balázs                                  |0000256| 2|FIDESZ,KDNP                                                 
01|003|081| 2|   |Kiss                                              |László                                  |0000143| 1|MSZP                                                        
01|003|081| 3|   |Quickert                                          |Liliána Diána                           |0000064| 1|LEHET MÁS A POLITIKA                                        
01|003|082| 1|   |Bús                                               |Balázs                                  |0000354| 2|FIDESZ,KDNP                                                 
