02|BARANYA                  |OKORVÖLGY           |    |PETIK ZOLTÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |OLASZ               |    |MARCZI JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |OLD                 |    |MARTON ISTVÁN                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ORFŰ                |    |NAGY (BANDÓ) ANDRÁS                 |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |OROSZLÓ             |    |POZSGAI TIBOR                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ÓZDFALU             |    |VAS LAJOS                           |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PALÉ                |    |BLASKOVITS ISTVÁN                   |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PALKONYA            |    |BECKER LEONÓRA XÉNIA                |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PALOTABOZSOK        |    |SCHÜTZ JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PÁPRÁD              |    |LŐRINCZ BÉLÁNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PATAPOKLOSI         |    |PAIZS JÓZSEF                        |AGRÁRSZÖVETSÉG                                            
02|BARANYA                  |PÉCS                |DR. |KRIPPL ZOLTÁN                       |NEM ISMERT                                                
02|BARANYA                  |PÉCSBAGOTA          |    |BOZSÁNYI JÁNOS                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PÉCSDEVECSER        |    |BŐSZ IMRE                           |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PÉCSUDVARD          |    |RÓNAI LÁSZLÓ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PÉCSVÁRAD           |    |KAKAS SÁNDOR                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PELLÉRD             |    |METZING JÓZSEF                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PEREKED             |    |GRÁTZ JÁNOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PETERD              |    |HENIK LAJOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |PETTEND             |    |GERE JÁNOS                          |AGRÁRSZÖVETSÉG                                            
02|BARANYA                  |PISKÓ               |    |MATYI DEZSŐ                         |FÜGGETLEN JELÖLT                                          
