01|BUDAPEST  |006|BUDAPEST          06|00000007|ÖRMÉNY                        |00006663|05|    DIRAMERJÁN ONNIG                    |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000276
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00074507|01|    BISZUN GYÖRGYNÉ                     |000081|MSZRSZ                        |1|nyert                         |00000516
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00003270|02|    DOMBI LAJOS                         |000064|ZHUTINAS CIGÁNY SZERVEZET     |1|nyert                         |00000368
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00054729|03|    KISS ZOLTÁN                         |000081|MSZRSZ                        |1|nyert                         |00000363
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00076279|04|    KISS ZOLTÁNNÉ                       |000081|MSZRSZ                        |3|nem nyert                     |00000297
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00053240|05|    MAKAI ISTVÁN                        |000064|ZHUTINAS CIGÁNY SZERVEZET     |3|nem nyert                     |00000267
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00076983|06|    RADULY ATTILÁNÉ                     |000081|MSZRSZ                        |3|nem nyert                     |00000330
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00013937|07|DR  REMÉNYI GÉZA                        |010149|MCISZ-CIGÁNY ANYÁK            |1|nyert                         |00000559
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00025951|08|    ROSTÁS-FARKAS GYÖRGY                |010166|CTMT                          |1|nyert                         |00000658
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00076375|09|    SUKINÉ ZÁMBÓ ERIKA                  |000058|CIGÁNY ANYÁK ÉRDEKSZÖVETSÉGE  |3|nem nyert                     |00000313
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00010949|10|    ZÁMBÓ GYULA                         |010147|MCISZ                         |3|nem nyert                     |00000202
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00057051|11|IFJ ZÁMBÓ GYULA                         |010150|CIGÁNY ANYÁK-MCISZ            |3|nem nyert                     |00000203
01|BUDAPEST  |007|BUDAPEST          07|00000002|CIGÁNY                        |00064527|12|    ZÁMBÓ GYULÁNÉ                       |010147|MCISZ                         |3|nem nyert                     |00000150
01|BUDAPEST  |007|BUDAPEST          07|00000004|HORVÁT                        |00075240|01|    BENCSIK KATALIN                     |000061|HORVÁT SZÖVETSÉG              |1|nyert                         |00002364
01|BUDAPEST  |007|BUDAPEST          07|00000004|HORVÁT                        |00007995|02|    DÉKITY MÁRK                         |000061|HORVÁT SZÖVETSÉG              |1|nyert                         |00001372
01|BUDAPEST  |007|BUDAPEST          07|00000004|HORVÁT                        |00045339|03|    KARAGITY ISTVÁN                     |000061|HORVÁT SZÖVETSÉG              |1|nyert                         |00001265
01|BUDAPEST  |007|BUDAPEST          07|00000004|HORVÁT                        |00019975|04|    ÓNÓDY MIKLÓS                        |000061|HORVÁT SZÖVETSÉG              |1|nyert                         |00001557
01|BUDAPEST  |007|BUDAPEST          07|00000004|HORVÁT                        |00073420|05|    PETRICS MÁRIA                       |000061|HORVÁT SZÖVETSÉG              |1|nyert                         |00001335
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00037098|01|    CSIKÓS TIBOR                        |000000|FÜGGETLEN                     |1|nyert                         |00001899
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00054351|02|    CSORBA ZOLTÁN                       |000000|FÜGGETLEN                     |1|nyert                         |00001934
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00028499|03|    DUKA ELEMÉR                         |010132|F.JÓZSEFVÁROSI CIGÁNYZENÉSZEK |1|nyert                         |00001823
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00004821|04|    FARKAS DEZSŐ                        |000000|FÜGGETLEN                     |3|nem nyert                     |00001088
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00007151|05|    FARKAS ISTVÁN                       |000082|"R.E." CIGÁNYZENÉSZ SZÖVETSÉG |3|nem nyert                     |00001076
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00036038|06|    FÁTYOL TIVADAR                      |000000|FÜGGETLEN                     |3|nem nyert                     |00000802
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00069420|07|    KARSAI CSABÁNÉ                      |000081|MSZRSZ                        |3|nem nyert                     |00000955
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00008671|08|    LAKATOS PÁL ÁRPÁD                   |000000|FÜGGETLEN                     |3|nem nyert                     |00000885
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00075423|09|    LAKATOS VERONIKA                    |000081|MSZRSZ                        |3|nem nyert                     |00001106
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00070526|10|    NAGYNÉ HORVÁTH JUDIT                |000081|MSZRSZ                        |3|nem nyert                     |00000902
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00039307|11|    NAGY ZOLTÁN                         |000081|MSZRSZ                        |3|nem nyert                     |00000759
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00032106|12|    NÉMETH OTTÓ                         |010132|F.JÓZSEFVÁROSI CIGÁNYZENÉSZEK |3|nem nyert                     |00001350
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00018565|13|    NYÁRI GYULA SÁNDOR                  |000000|FÜGGETLEN                     |3|nem nyert                     |00001045
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00056057|14|    OLÁH GÁBOR                          |010132|F.JÓZSEFVÁROSI CIGÁNYZENÉSZEK |3|nem nyert                     |00001375
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00019493|15|    OLÁH TIBOR                          |010132|F.JÓZSEFVÁROSI CIGÁNYZENÉSZEK |3|nem nyert                     |00001351
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00010751|16|    RÁCZ SÁNDOR                         |010132|F.JÓZSEFVÁROSI CIGÁNYZENÉSZEK |1|nyert                         |00001548
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00069073|17|    SUHA GYÖRGYNÉ                       |000000|FÜGGETLEN                     |1|nyert                         |00001718
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00037935|18|    SZABÓ LÁSZLÓ                        |000000|FÜGGETLEN                     |3|nem nyert                     |00001467
01|BUDAPEST  |008|BUDAPEST          08|00000002|CIGÁNY                        |00020564|19|    TOMHÁN  GYULA                       |000000|FÜGGETLEN                     |3|nem nyert                     |00000984
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00053956|01|    BALOGH GYÖRGY                       |000000|FÜGGETLEN                     |1|nyert                         |00002291
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00075733|02|    BEKŐ GYÖRGYNÉ                       |000059|MCDSZ                         |3|nem nyert                     |00001432
