01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |019|    VAJDA PÁL                           |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |020|DR. PÁLFALVINÉ MÓÓR MARIANNA            |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |021|    BIHARY GÁBOR                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |022|    VÖRÖSNÉ DR.BÁNK JUDIT               |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |023|DR. SZÉPHALMI GÉZA                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |024|    GICZI ISTVÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |025|    POLGÁR VIKTOR ANDRÁS                |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |026|    VETŐ ZSUZSANNA                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |027|    BERSÉNYI IVÁN                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |028|    DÁVID KLÁRA                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |029|    CSABA PÉTER                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |030|    KUSZA BÉLA                          |3|nem nyert
