05|BORSOD-A-Z|159|KESZNYÉTEN          |000002|CIGÁNY                        |1|eredményes               |00001317|000005|00000480
05|BORSOD-A-Z|162|KISCSÉCS            |000002|CIGÁNY                        |1|eredményes               |00000152|000003|00000060
05|BORSOD-A-Z|173|KOVÁCSVÁGÁS         |000002|CIGÁNY                        |1|eredményes               |00000286|000003|00000158
05|BORSOD-A-Z|174|KÖRÖM               |000002|CIGÁNY                        |1|eredményes               |00000398|000003|00000243
05|BORSOD-A-Z|177|KURITYÁN            |000002|CIGÁNY                        |1|eredményes               |00000739|000005|00000387
05|BORSOD-A-Z|178|LAK                 |000002|CIGÁNY                        |1|eredményes               |00000727|000003|00000309
05|BORSOD-A-Z|185|MAKKOSHOTYKA        |000002|CIGÁNY                        |1|eredményes               |00000670|000003|00000352
05|BORSOD-A-Z|186|MARTONYI            |000002|CIGÁNY                        |1|eredményes               |00000116|000003|00000077
05|BORSOD-A-Z|190|MEGYASZÓ            |000002|CIGÁNY                        |1|eredményes               |00002951|000005|00000840
05|BORSOD-A-Z|192|MEZŐCSÁT            |000002|CIGÁNY                        |1|eredményes               |00002081|000005|00000811
05|BORSOD-A-Z|195|MEZŐKÖVESD          |000002|CIGÁNY                        |1|eredményes               |00004192|000005|00002204
05|BORSOD-A-Z|201|MISKOLC             |000002|CIGÁNY                        |1|eredményes               |00005520|000005|00002376
05|BORSOD-A-Z|201|MISKOLC             |000003|GÖRÖG                         |1|eredményes               |00010635|000005|00004871
05|BORSOD-A-Z|201|MISKOLC             |000011|SZLOVÁK                       |1|eredményes               |00011774|000005|00004747
05|BORSOD-A-Z|206|MÚCSONY             |000002|CIGÁNY                        |1|eredményes               |00000487|000005|00000259
05|BORSOD-A-Z|206|MÚCSONY             |000009|RUSZIN                        |1|eredményes               |00001323|000005|00000519
05|BORSOD-A-Z|220|OLASZLISZKA         |000002|CIGÁNY                        |1|eredményes               |00000809|000005|00000357
05|BORSOD-A-Z|221|ONGA                |000002|CIGÁNY                        |1|eredményes               |00003250|000005|00001063
05|BORSOD-A-Z|224|ÓNOD                |000002|CIGÁNY                        |1|eredményes               |00001002|000005|00000387
05|BORSOD-A-Z|225|ÓZD                 |000002|CIGÁNY                        |1|eredményes               |00012399|000005|00004985
05|BORSOD-A-Z|227|PARASZNYA           |000002|CIGÁNY                        |1|eredményes               |00000556|000003|00000413
05|BORSOD-A-Z|228|PÁCIN               |000002|CIGÁNY                        |1|eredményes               |00000742|000005|00000260
05|BORSOD-A-Z|234|PRÜGY               |000002|CIGÁNY                        |1|eredményes               |00001314|000005|00000488
05|BORSOD-A-Z|236|PUSZTARADVÁNY       |000002|CIGÁNY                        |1|eredményes               |00000302|000003|00000118
05|BORSOD-A-Z|237|PUTNOK              |000002|CIGÁNY                        |1|eredményes               |00003230|000005|00001134
05|BORSOD-A-Z|239|RAGÁLY              |000002|CIGÁNY                        |1|eredményes               |00000642|000003|00000295
05|BORSOD-A-Z|240|RAKACA              |000002|CIGÁNY                        |1|eredményes               |00000488|000003|00000285
05|BORSOD-A-Z|242|RÁSONYSÁPBERENCS    |000002|CIGÁNY                        |1|eredményes               |00000156|000003|00000113
05|BORSOD-A-Z|252|SAJÓHIDVÉG          |000002|CIGÁNY                        |1|eredményes               |00000677|000003|00000301
05|BORSOD-A-Z|257|SAJÓLÁD             |000002|CIGÁNY                        |1|eredményes               |00001340|000005|00000413
05|BORSOD-A-Z|263|SAJÓPETRI           |000002|CIGÁNY                        |1|eredményes               |00000832|000005|00000346
05|BORSOD-A-Z|266|SAJÓSZENTPÉTER      |000002|CIGÁNY                        |1|eredményes               |00003475|000005|00002154
05|BORSOD-A-Z|270|SÁLY                |000002|CIGÁNY                        |1|eredményes               |00001267|000005|00000432
05|BORSOD-A-Z|272|SÁROSPATAK          |000002|CIGÁNY                        |1|eredményes               |00004088|000005|00002087
05|BORSOD-A-Z|273|SÁTA                |000002|CIGÁNY                        |1|eredményes               |00000928|000005|00000410
05|BORSOD-A-Z|274|SÁTORALJAÚJHELY     |000002|CIGÁNY                        |1|eredményes               |00001645|000005|00000765
05|BORSOD-A-Z|274|SÁTORALJAÚJHELY     |000006|NÉMET                         |1|eredményes               |00002782|000005|00001300
05|BORSOD-A-Z|274|SÁTORALJAÚJHELY     |000011|SZLOVÁK                       |1|eredményes               |00002181|000005|00001009
05|BORSOD-A-Z|277|SERÉNYFALVA         |000002|CIGÁNY                        |1|eredményes               |00000287|000003|00000199
05|BORSOD-A-Z|282|SZALASZEND          |000002|CIGÁNY                        |1|eredményes               |00000276|000003|00000171
05|BORSOD-A-Z|287|SZEMERE             |000002|CIGÁNY                        |1|eredményes               |00000334|000003|00000135
05|BORSOD-A-Z|289|SZENDRŐLÁD          |000002|CIGÁNY                        |1|eredményes               |00001370|000005|00000531
05|BORSOD-A-Z|290|SZENTISTVÁN         |000002|CIGÁNY                        |1|eredményes               |00001379|000005|00000649
05|BORSOD-A-Z|292|SZERENCS            |000002|CIGÁNY                        |1|eredményes               |00001917|000005|00001430
05|BORSOD-A-Z|297|SZOMOLYA            |000002|CIGÁNY                        |1|eredményes               |00001188|000005|00000445
05|BORSOD-A-Z|304|TAKTAHARKÁNY        |000002|CIGÁNY                        |1|eredményes               |00002771|000005|00000987
