1|01|BUDAPEST                 |20|DR. |GYŐRIVÁNYI SÁNDOR                                           |00002190|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |20|DR. |NÉMETH TIBOR                                                |00000391|MAGYAR NÉPPÁRT                
1|01|BUDAPEST                 |20|IFJ.|MAROSÁN GYÖRGY                                              |00004221|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |20|    |KOLLÁT PÁL                                                  |00001406|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |20|    |RAJK LÁSZLÓ                                                 |00010166|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |20|    |GÁL FERENC                                                  |00001587|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |20|    |BEKE KATA                                                   |00006880|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |20|    |CZINKÓCZKI        JÓZSEFNÉ                                  |00000758|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |21|DR. |SUGÁR GÁBOR                                                 |00002054|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |21|DR. |ZSÁK MIKLÓS                                                 |00001844|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |21|    |KASZÁS IVÁN                                                 |00001246|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |21|    |BAZSÓ BÉLA                                                  |00002010|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |21|DR. |VASS CSABA                                                  |00004487|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |21|DR. |ÁRVA LÁSZLÓ                                                 |00009272|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |21|    |MAGYAR BÁLINT                                               |00012550|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |21|    |DAUDA SÁNDOR                                                |00002512|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |21|    |GYŐRI-MOLNÁR LAJOS                                          |00002780|FIATAL DEMOKRATÁK SZÖVETSÉGE  
